Time,CPU
19:32:46,16
19:32:47,15.2
19:32:48,11.9
19:32:49,24.2
19:32:50,16.3
19:32:51,10.1
19:32:52,9.3
19:32:53,8.9
19:32:54,15.4
19:32:55,19.5
19:32:56,15.6
19:32:57,9.8
19:32:58,14.3
19:32:59,13.5
19:33:00,14.3
19:33:01,30.2
19:33:02,29.4
19:33:03,13.2
19:33:04,50.2
19:33:05,34.1
19:33:06,32.7
19:33:07,54.5
19:33:08,76
19:33:09,26.7
19:33:10,30.7
19:33:11,53.4
19:33:12,67.4
19:33:13,74.7
19:33:14,56.8
19:33:15,44.7
19:33:16,42.1
19:33:17,36.9
19:33:18,39.4
19:33:20,42.7
19:33:21,49.2
19:33:22,56.9
19:33:23,52.7
19:33:24,43.1
19:33:25,35.4
19:33:26,56.7
19:33:27,37
19:33:28,21.8
19:33:29,21.1
19:33:30,36.5
19:33:31,82.1
19:33:32,62.4
19:33:33,43.3
19:33:34,34.1
19:33:35,36.8
19:33:36,35.4
19:33:37,32.8
19:33:38,55.8
19:33:39,38.6
19:33:40,23.9
19:33:41,14.6
19:33:42,20
19:33:43,52.9
19:33:44,42.6
19:33:45,50.4
19:33:46,41.9
19:33:47,31.2
19:33:48,35
19:33:49,38.5
19:33:50,48.9
19:33:51,39.3
19:33:52,24.2
19:33:53,25
19:33:54,70
19:33:55,50.8
19:33:56,51.7
19:33:57,37.4
19:33:58,40
19:33:59,37.8
19:34:00,55.1
19:34:01,44.1
19:34:02,83.2
19:34:03,41.5
19:34:04,35
19:34:05,34.9
19:34:06,55.4
19:34:07,39.8
19:34:08,67.7
19:34:09,40.6
19:34:10,29.6
19:34:11,31.4
19:34:12,34.5
19:34:13,54
19:34:14,54.2
19:34:15,37.9
19:34:16,29.3
19:34:17,31.5
19:34:18,44.2
19:34:19,33.2
19:34:20,53.3
19:34:21,54.7
19:34:22,42.4
19:34:23,59.1
19:34:24,55
19:34:25,58.8
19:34:26,90.5
19:34:27,48
19:34:28,31.1
19:34:29,33.1
19:34:30,33.5
19:34:31,42.6
19:34:32,75.6
19:34:33,46.3
19:34:34,35.7
19:34:35,45.9
19:34:36,18.8
19:34:37,24.7
19:34:38,44.5
19:34:39,27.2
19:34:40,25.8
19:34:41,26.5
19:34:42,25.7
19:34:43,36.7
19:34:44,69.5
19:34:45,68
19:34:46,43.8
19:34:47,47.6
19:34:48,53
19:34:49,44.4
19:34:50,69.1
19:34:51,45.8
19:34:52,27.4
19:34:53,22.5
19:34:54,22.9
19:34:55,28.7
19:34:56,38
19:34:57,26.6
19:34:58,22.6
19:34:59,24.1
19:35:00,12.9
19:35:01,14.3
19:35:02,22.2
19:35:03,18.7
19:35:04,9.2
19:35:05,8.9
19:35:06,9.8
19:35:07,11.6
19:35:08,24.3
19:35:09,15.6
19:35:10,17.8
19:35:11,8.6
19:35:12,13.6
19:35:13,8.9
19:35:14,27
19:35:15,16.5
19:35:16,11.2
19:35:17,11.2
19:35:18,7.4
19:35:19,14.3
19:35:20,25.5
19:35:21,16.3
19:35:22,14.5
19:35:23,30.7
19:35:24,32.4
19:35:25,28
19:35:26,38.2
19:35:27,8.6
19:35:28,4.7
19:35:29,8.6
19:35:30,9.4
19:35:31,29.6
19:35:32,29.7
19:35:33,16.7
19:35:34,8.6
19:35:35,9.7
19:35:36,8.6
19:35:37,7.8
19:35:38,26
19:35:39,24.6
19:35:40,9.3
19:35:41,12.4
19:35:42,6.2
19:35:43,11.3
19:35:44,18.6
19:35:45,31.2
19:35:46,41.6
19:35:47,7
19:35:48,8.9
19:35:49,10.1
19:35:50,14
19:35:51,33.5
19:35:52,5.5
19:35:53,7.8
19:35:54,12.4
19:35:55,10.5
19:35:56,10.8
19:35:57,28.6
19:35:58,12
19:35:59,13.8
19:36:00,13.7
19:36:01,29.5
19:36:02,24.1
19:36:03,47.5
19:36:04,26.2
19:36:05,25.4
19:36:06,27.6
19:36:07,17.5
19:36:08,9.8
19:36:09,28
19:36:10,6.6
19:36:11,7.8
19:36:12,9.7
19:36:13,11.2
19:36:14,16.5
19:36:15,26.7
19:36:16,9.3
19:36:17,10.1
19:36:18,14.8
19:36:19,9
19:36:20,14
19:36:21,32.6
19:36:22,19.4
19:36:23,28
19:36:24,28
19:36:25,28.4
19:36:26,15.1
19:36:27,23.7
19:36:28,9.7
19:36:29,5.1
19:36:30,14.1
19:36:31,24.1
19:36:32,13.2
19:36:33,25
19:36:34,11.7
19:36:35,11.9
19:36:36,11.4
19:36:37,5.1
19:36:38,15.2
19:36:39,28.4
19:36:40,28.6
19:36:41,11.6
19:36:42,17.9
19:36:43,9.8
19:36:44,27
19:36:45,48.3
19:36:46,59.3
19:36:47,32.2
19:36:48,34.7
19:36:49,44.3
19:36:50,38.2
19:36:51,45
19:36:52,46.8
19:36:53,67.7
19:36:54,39.9
19:36:55,34.2
19:36:56,41
19:36:57,43.7
19:36:58,56.7
19:36:59,38.8
19:37:00,27.9
19:37:01,26.8
19:37:02,29.7
19:37:03,27.6
19:37:04,45.4
19:37:05,31.3
19:37:06,45.9
19:37:07,32.7
19:37:08,26.8
19:37:09,37.5
19:37:10,50.4
19:37:11,35.9
19:37:12,24.1
19:37:13,14
19:37:14,13.6
19:37:15,7.4
19:37:16,23.6
19:37:17,17.1
19:37:18,15.2
19:37:19,11.6
19:37:20,9
19:37:21,9.3
19:37:22,42.3
19:37:23,34.9
19:37:24,28.9
19:37:25,26.8
19:37:26,25.6
19:37:27,5.8
19:37:28,29
19:37:29,14.6
19:37:30,29.6
19:37:31,19.8
19:37:32,11.7
19:37:33,12.4
19:37:34,26.4
19:37:35,14.5
19:37:36,6.2
19:37:37,8.9
19:37:38,12.1
19:37:39,9.3
19:37:40,23.9
19:37:41,23.6
19:37:42,11.7
19:37:43,9.4
19:37:44,7.8
19:37:45,7.3
19:37:46,24.3
19:37:47,61.2
19:37:48,5.4
19:37:49,9.7
19:37:50,6.6
19:37:51,7.4
19:37:52,10.5
19:37:53,25.9
19:37:54,10.9
19:37:55,6.6
19:37:56,14.1
19:37:57,5.1
19:37:58,13.2
19:37:59,20.5
19:38:00,19.2
19:38:01,8.5
19:38:02,25.7
19:38:03,32
19:38:04,35.8
19:38:05,40.7
19:38:06,28.4
19:38:07,26.6
19:38:08,3.9
19:38:09,9.4
19:38:10,22.5
19:38:11,20.2
19:38:12,10
19:38:13,8.2
19:38:14,8.2
19:38:15,9
19:38:16,21.4
19:38:17,30.1
19:38:18,8.9
19:38:19,7.8
19:38:20,8.9
19:38:21,8.2
19:38:22,32.7
19:38:23,39.9
19:38:24,26.6
19:38:25,27.7
19:38:26,5.8
19:38:27,10.8
19:38:28,22.2
19:38:29,22.7
19:38:30,30.3
19:38:31,9.7
19:38:32,10.1
19:38:33,10.1
19:38:34,19.2
19:38:35,29.6
19:38:36,7.4
19:38:37,8.2
19:38:38,10.5
19:38:39,8.2
19:38:40,11.3
19:38:41,29.5
19:38:42,9.7
19:38:43,11.6
19:38:44,30.2
19:38:45,26.7
19:38:46,37
19:38:47,68.7
19:38:48,15.4
19:38:49,10.4
19:38:50,20.8
19:38:51,10.4
19:38:52,17.4
19:38:53,32.7
19:38:54,25.3
19:38:55,26
19:38:56,34.1
19:38:57,33.3
19:38:58,43.2
